Timestamp,obs_id,SiteId,Value
01-01-2010 00:00,6250827,302,50225.75868
01-01-2010 00:15,2892735,302,50225.75868
01-01-2010 00:30,963512,302,50225.75868
01-01-2010 00:45,2413583,302,50225.75868
01-01-2010 01:00,2425214,302,50225.75868
01-01-2010 01:15,2040753,302,50225.75868
01-01-2010 01:30,6401851,302,50225.75868
01-01-2010 01:45,1922851,302,50225.75868
01-01-2010 02:00,686637,302,50225.75868
01-01-2010 02:15,4418469,302,50225.75868
01-01-2010 02:30,2512162,302,50225.75868
01-01-2010 02:45,5773910,302,50225.75868
01-01-2010 03:00,6709955,302,50225.75868
01-01-2010 03:15,507622,302,50225.75868
01-01-2010 03:30,863285,302,50225.75868
01-01-2010 03:45,7040219,302,50225.75868
01-01-2010 04:00,7784580,302,50225.75868
01-01-2010 04:15,7550109,302,50225.75868
01-01-2010 04:30,3102383,302,50225.75868
01-01-2010 04:45,1935945,302,50225.75868
01-01-2010 05:00,5490782,302,50225.75868
01-01-2010 05:15,4148910,302,50225.75868
01-01-2010 05:30,6540525,302,50225.75868
01-01-2010 05:45,5381993,302,50225.75868
01-01-2010 06:00,7497068,302,50225.75868
01-01-2010 06:15,6240159,302,50225.75868
01-01-2010 06:30,589973,302,50225.75868
01-01-2010 06:45,4347240,302,50225.75868
01-01-2010 07:00,5695910,302,50225.75868
01-01-2010 07:15,5724077,302,50225.75868
01-01-2010 07:30,5228622,302,50225.75868
01-01-2010 07:45,944505,302,50225.75868
01-01-2010 08:00,4483803,302,50225.75868
01-01-2010 08:15,7219316,302,50225.75868
01-01-2010 08:30,5270684,302,50225.75868
01-01-2010 08:45,6318743,302,50225.75868
01-01-2010 09:00,7739311,302,50225.75868
01-01-2010 09:15,6203417,302,50225.75868
01-01-2010 09:30,5091416,302,50225.75868
01-01-2010 09:45,82688,302,50225.75868
01-01-2010 10:00,6673280,302,50225.75868
01-01-2010 10:15,7290694,302,50225.75868
01-01-2010 10:30,5521809,302,50225.75868
01-01-2010 10:45,4423525,302,50225.75868
01-01-2010 11:00,6963800,302,50225.75868
01-01-2010 11:15,4124984,302,50225.75868
01-01-2010 11:30,5723192,302,50225.75868
01-01-2010 11:45,6412396,302,50225.75868
01-01-2010 12:00,5673589,302,50225.75868
01-01-2010 12:15,6393377,302,50225.75868
01-01-2010 12:30,2880251,302,50225.75868
01-01-2010 12:45,1146725,302,50225.75868
01-01-2010 13:00,1894008,302,50225.75868
01-01-2010 13:15,4580811,302,50225.75868
01-01-2010 13:30,6725665,302,50225.75868
01-01-2010 13:45,3062593,302,50225.75868
01-01-2010 14:00,2723022,302,50225.75868
01-01-2010 14:15,4045100,302,50225.75868
01-01-2010 14:30,5263467,302,50225.75868
01-01-2010 14:45,1771118,302,50225.75868
01-01-2010 15:00,3447267,302,50225.75868
01-01-2010 15:15,101040,302,50225.75868
01-01-2010 15:30,1462327,302,50225.75868
01-01-2010 15:45,7077682,302,50225.75868
01-01-2010 16:00,7802235,302,50225.75868
01-01-2010 16:15,1083131,302,50225.75868
01-01-2010 16:30,7745607,302,50225.75868
01-01-2010 16:45,496054,302,50225.75868
01-01-2010 17:00,4080240,302,50225.75868
01-01-2010 17:15,4411278,302,50225.75868
01-01-2010 17:30,1475217,302,50225.75868
01-01-2010 17:45,6721688,302,50225.75868
01-01-2010 18:00,4567125,302,50225.75868
01-01-2010 18:15,6637301,302,50225.75868
01-01-2010 18:30,2347074,302,50225.75868
01-01-2010 18:45,4558187,302,50225.75868
01-01-2010 19:00,1532495,302,50225.75868
01-01-2010 19:15,5624694,302,50225.75868
01-01-2010 19:30,2637258,302,50225.75868
01-01-2010 19:45,6925841,302,50225.75868
01-01-2010 20:00,424800,302,50225.75868
01-01-2010 20:15,7039383,302,50225.75868
01-01-2010 20:30,2245465,302,50225.75868
01-01-2010 20:45,2943760,302,50225.75868
01-01-2010 21:00,7143562,302,50225.75868
01-01-2010 21:15,770070,302,50225.75868
01-01-2010 21:30,2494994,302,50225.75868
01-01-2010 21:45,264479,302,50225.75868
01-01-2010 22:00,6595053,302,50225.75868
01-01-2010 22:15,3955391,302,50225.75868
01-01-2010 22:30,3765898,302,50225.75868
01-01-2010 22:45,1271637,302,50225.75868
01-01-2010 23:00,275216,302,50225.75868
01-01-2010 23:15,7248709,302,50225.75868
01-01-2010 23:30,2869305,302,50225.75868
01-01-2010 23:45,4425933,302,50225.75868
02-01-2010 00:00,826355,302,50225.75868
02-01-2010 00:15,6330760,302,50225.75868
